IOU U-Net,IOU OpenCV,IOU OpenCV Denoised
0.984736,0.818114,0.843971
0.992045,0.773627,0.83233
0.991,0.797164,0.860834
0.992526,0.782971,0.845367
0.990002,0.80228,0.867898
0.987561,0.820093,0.848085
0.991706,0.797,0.860333
0.993641,0.810201,0.866214
0.969979,0.761767,0.807071
0.990207,0.799886,0.8632
0.991244,0.799361,0.862384
0.971183,0.785208,0.849705
0.993527,0.783398,0.844962
0.990299,0.801312,0.865791
0.989701,0.794414,0.861198
0.991674,0.800856,0.8648
0.990764,0.800674,0.866571
0.993157,0.781741,0.828815
0.981047,0.806653,0.861615
0.986517,0.799535,0.856413
0.987882,0.82151,0.872943
0.945028,0.75069,0.779984
0.971645,0.74109,0.761708
0.990189,0.726993,0.754008
0.990328,0.795528,0.866488
0.990937,0.771189,0.828891
0.992437,0.758987,0.816536
0.990633,0.79547,0.856742
0.991209,0.798648,0.863463
0.990236,0.813042,0.866935
0.992593,0.813958,0.87093
0.966637,0.77968,0.83878
0.992461,0.795828,0.863981
0.973151,0.778883,0.840613
0.977765,0.783801,0.843383
0.989361,0.804062,0.869289
0.991331,0.801095,0.867174
0.98583,0.814171,0.871169
0.990875,0.803048,0.869601
0.989658,0.808526,0.879344
0.991499,0.802485,0.868808
0.991097,0.799299,0.863397
0.989731,0.793616,0.859902
0.990893,0.801706,0.865563
0.982443,0.795648,0.852809
0.990164,0.795925,0.862159
0.989921,0.724098,0.750864
0.990064,0.756351,0.784984
0.993909,0.762862,0.815735
0.993858,0.800372,0.862879
0.991498,0.793724,0.857984
0.985629,0.818015,0.870072
0.99318,0.797802,0.863754
0.991082,0.800865,0.864846
0.992423,0.798734,0.86356
0.989251,0.779683,0.809308
0.992012,0.802362,0.864479
0.974155,0.782577,0.841845
0.990576,0.799237,0.862696
0.990013,0.803526,0.868591
0.972626,0.781909,0.842635
0.98937,0.784555,0.830387
0.991244,0.800518,0.86465
0.99381,0.800743,0.835236
0.989136,0.812194,0.866934
0.992428,0.796354,0.86265
0.979009,0.792828,0.85299
0.990325,0.80489,0.870238
0.990071,0.797984,0.863065
0.990266,0.773563,0.805482
0.992547,0.782097,0.829807
0.989106,0.80995,0.866737
0.981898,0.793862,0.852011
0.989508,0.805155,0.868968
0.991626,0.798455,0.863903
0.989576,0.797617,0.864099
0.992611,0.782359,0.828626
0.993892,0.809597,0.860135
0.992259,0.805008,0.871832
0.986643,0.810745,0.871619
0.989913,0.796553,0.864762
0.988649,0.744292,0.772643
0.984245,0.763382,0.783716
0.965569,0.813414,0.867541
0.992402,0.782371,0.843609
0.986027,0.787387,0.819494
0.974745,0.811182,0.860583
0.99256,0.798147,0.862497
0.990748,0.75285,0.78134
0.992321,0.783956,0.829773
0.991947,0.758554,0.814178
0.992646,0.813171,0.845725
0.989874,0.805937,0.869178
